_id,courseId,descriptionSize,keyWord,learnerCount,productDifficultyLevel,productName,score,source,time
5c9fb53e13ba61f2f067524a,course~fNeY-S8dEeaVZA5K9cHVCQ,348,ai,14227.0,Beginner,Global Diplomacy: the United Nations in the World,4.711206896551724,coursera.org,11.0
5c9fb54013ba61f2f067524c,s12n~86mYnKZREei9dArkaGKycg,426,big data,597.0,Intermediate,Data Engineering on Google Cloud Platform auf Deutsch,4.5,coursera.org,
5c9fb54413ba61f2f067524f,course~djn5oBJgEeaoZBKRisF_Dw,1207,big data,2446.0,Mixed,Big Data - Capstone Project,4.392241379310345,coursera.org,19.0
5c9fb54713ba61f2f0675252,s12n~LW33ur6XEeeEUBLRzofOfg,111,big data,111967.0,Intermediate,Developing Applications with Google Cloud Platform,4.66393092245875,coursera.org,
5c9fb54a13ba61f2f0675254,course~qvN49o9eEeebBBJ8AIlx3A,417,ai,6833.0,Beginner,Intro to Digital Manufacturing with Autodesk Fusion 360,4.603738317757009,coursera.org,9.0
5c9fb54e13ba61f2f0675257,course~3mA6QTIyEeWsOA5fzAmxbw,484,ai,29167.0,Mixed,Practical Predictive Analytics: Models and Methods,4.094076655052265,coursera.org,13.0
5c9fb55113ba61f2f067525a,s12n~CptsuaJjEei21g4WPtYR8A,1310,ai,291.0,Intermediate,Machine Learning with TensorFlow on Google Cloud Platform en Français,4.5,coursera.org,
5c9fb55413ba61f2f067525c,course~25Fh8ivBEee6gA5XksfBbg,366,ai,112639.0,Intermediate,Sequence Models,4.798531037750751,coursera.org,18.0
5c9fb55613ba61f2f067525f,s12n~rIdeI6JhEei_0Qr9-815Tg,401,ai,259.0,Intermediate,Machine Learning with TensorFlow  Google Cloud Platform 日本語版,4.266666666666667,coursera.org,
5c9fb55913ba61f2f0675262,course~rASUBG_yEei3VA5XIGna9A,528,ai,30.0,Intermediate,Launching into Machine Learning auf Deutsch,,coursera.org,6.0
5c9fb55e13ba61f2f0675264,course~H02KsW1DEeWXrA6ju0fvnQ,687,ai,95072.0,Mixed,Practical Machine Learning,4.475553698286669,coursera.org,14.0
5c9fb56113ba61f2f0675267,course~qu0f3u1nEea3iQqSVF8Nwg,115,big data,53158.0,Intermediate,Google Cloud Platform Big Data and Machine Learning Fundamentals,4.601426307448494,coursera.org,11.0
5c9fb56313ba61f2f067526a,s12n~D6Ap6_7hEeaRogry0hUlXg,111,ai,58594.0,Intermediate,Data Engineering on Google Cloud Platform,4.54881309244106,coursera.org,
5c9fb56613ba61f2f067526c,course~Je0f0E-CEei9LxLVWubbmA,108,ai,527.0,Intermediate,Automated Reasoning: satisfiability,5.0,coursera.org,10.0
5c9fb56b13ba61f2f067526f,course~H0QlQ4hFEeepbRJnqPie6A,172,ai,2990.0,Beginner,Data Science Ethics,4.597402597402597,coursera.org,16.0
5c9fb57013ba61f2f0675272,course~bN6DyH35EeeG2Q5aEOT70A,568,ai,2696.0,Intermediate,Practical Machine Learning on H2O,4.529411764705882,coursera.org,30.0
5c9fb57313ba61f2f0675275,course~u_VV_Tj5Eei_lQp5mMC3cA,473,ai,355.0,Beginner,"Teaching Impacts of Technology: Data Collection, Use, and Privacy",5.0,coursera.org,16.0
5c9fb57813ba61f2f0675278,course~kAa6kaZOEeipIQrH-_6yOA,613,ai,25.0,Intermediate,Building Resilient Streaming Systems on Google Cloud Platform en Français,,coursera.org,5.0
5c9fb57d13ba61f2f067527b,course~SpW8-KJfEeiG9goIBchJPA,425,ai,286.0,Intermediate,Feature Engineering en Español,5.0,coursera.org,7.0
5c9fb58213ba61f2f067527e,course~UEk5ZkEWEeWC4g7VhG4bTQ,558,big data,113190.0,Mixed,A Crash Course in Data Science,4.463846319879128,coursera.org,5.0
5c9fb58513ba61f2f0675280,s12n~R7AsYWQcEeisgg7XKSzwFg,389,big data,2052.0,Beginner,Big Data – Introducción al uso práctico de datos masivos,4.561643835616438,coursera.org,
5c9fb58913ba61f2f0675283,course~XYXR3WgwEei-HhKT-KQ4Kg,432,ai,2011.0,Advanced,Advanced Data Science Capstone,4.59375,coursera.org,10.0
5c9fb58c13ba61f2f0675286,course~PsI7dlrCEeW5ChKOjFc59Q,165,ai,9921.0,Mixed,Clasificación de imágenes: ¿cómo reconocer el contenido de una imagen?,4.369230769230769,coursera.org,25.0
5c9fb59113ba61f2f067528e,course~RZ1S0B0MEeacvQ6cODzg5Q,692,ai,239068.0,Intermediate,Introduction to Data Science in Python,4.540529489931514,coursera.org,19.0
5c9fb59513ba61f2f0675290,course~wYVFrFUOEeiXDgqeSsw0yA,75,ai,1400.0,Beginner,Introduction to Statistics & Data Analysis in Public Health,4.368421052631579,coursera.org,11.0
5c9fb59813ba61f2f0675293,course~ogqLhaZOEei7SwoHnjp4jA,493,ai,499.0,Intermediate,Building Resilient Streaming Systems on Google Cloud Platform auf Deutsch,,coursera.org,5.0
5c9fb59c13ba61f2f0675296,course~qZaU7mj-Eei4Pg6SI1yUEA,689,ai,152.0,Intermediate,How Google does Machine Learning en Français,4.5,coursera.org,8.0
5c9fb59f13ba61f2f0675299,course~oCBU5_VYEeeBQA7SG0nILA,725,ai,25493.0,Beginner,Open Source tools for Data Science,4.566540880503145,coursera.org,7.0
5c9fb5a213ba61f2f067529b,course~bHHZ82j_EeiGFwrssIKG4A,642,big data,311.0,Intermediate,How Google does Machine Learning em Português Brasileiro,4.655172413793103,coursera.org,9.0
5c9fb5a613ba61f2f067529e,course~sXyV_aZLEeiLXw4QLApQMg,536,big data,27.0,Intermediate,Serverless Machine Learning with Tensorflow on Google Cloud Platform en Français,,coursera.org,5.0
5c9fb5ab13ba61f2f06752a1,course~tiqzG6LIEeeucRJ8FasFHA,571,ai,17270.0,Intermediate,Mathematics for Machine Learning: PCA,4.0,coursera.org,18.0
5c9fb5ae13ba61f2f06752a3,course~8UjeMk-mEeit4g4GsxE4dg,122,ai,22362.0,Intermediate,Machine Learning with Python,4.7,coursera.org,13.0
5c9fb5b313ba61f2f06752a6,s12n~78tKup5eEeW5ewqD-4pukQ,436,ai,56424.0,Intermediate,Машинное обучение и анализ данных,4.752811828636421,coursera.org,
5c9fb5b613ba61f2f06752a9,s12n~_Fk2Gi3cEeiHghIydZ_0lA,714,ai,,Beginner,Introduction to Data Science,,coursera.org,
5c9fb5ba13ba61f2f06752ac,course~y0RR_vZ4EeeHQRLf02JF5g,290,ai,6070.0,Intermediate,Google Cloud Platform Big Data and Machine Learning Fundamentals en Español,4.6171875,coursera.org,13.0
5c9fb5bd13ba61f2f06752af,course~sYcV16ZOEeiLXw4QLApQMg,570,ai,797.0,Intermediate,Building Resilient Streaming Systems on Google Cloud Platform 日本語版,4.666666666666667,coursera.org,7.0
5c9fb5c113ba61f2f06752b1,course~fbK4gaZMEeiuigqo2O4RrA,616,ai,14.0,Intermediate,Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform en Français,,coursera.org,5.0
